nom_rue,longueur_km,segments
Lameystraße,2.641626416353613,13
Kaiserallee,53.65595958802139,77
Reinhold-Frank-Straße,12.921297204012598,50
Brauerstraße,16.082138828685345,48
Ebertstraße,28.302368660544065,53
Rondellplatz,0.1101311783936558,1
Amalienstraße,30.072979276666146,20
Waldhornstraße,6.101965996005588,22
Schlossplatz,37.10526250268955,21
Schlossbezirk,1.5617735680300822,8
Kriegsstraße,192.34829634494898,178
Wichernstraße,1.4050915191020739,7
Zeppelinstraße,40.578310457461015,41
Grünwinkler Straße,30.67671836447287,9
Lärchenallee,4.1322669321113645,6
Klosterweg,5.742130834927731,23
Rhode-Island-Allee,5.059256038855545,10
Kanalweg,22.9674754022643,29
Sophienstraße,30.902189332030854,36
Hardtstraße,45.258498741615696,11
Am Entenfang,3.0890526141188017,18
Kieferäckerstraße,0.1495717631332012,1
Dörrenbacher Straße,0.3798426622172337,3
Honsellstraße,12.498181057137659,36
Südtangente,744.1263438498491,204
Ettlinger Allee,18.88261249272947,44
Herrenalber Straße,250.6053801173448,107
Schröderkreisel,0.09178568723735929,1
Karlsruher Straße,856.2402802610206,139
Liebigstraße,0.21815125999770713,2
Hübschstraße,0.57659969808757,3
Durlacher Straße,289.36371008066254,62
Kuhlager-Seele-Weg,1.5021650885537203,5
Frauenhäusleweg,7.269825938446719,11
Im Vogelsand,1.6400706645948382,5
Wilhelm-Schickard-Straße,1.2965853170638975,5
Emmy-Noether-Straße,6.417387793834449,18
Albert-Nestler-Straße,2.2425560926745938,9
August-Bebel-Straße,1.1195503445178998,4
Postweg,1.4207105017750987,3
Michelinstraße,4.703431725565551,15
Eckenerstraße,4.4045744309110395,12
Flughafenstraße,3.5035736262060864,5
Am Wald,21.83848400864472,9
Vermontring,2.505180892296923,13
Indianaring,2.395998935658793,13
Ohiostraße,0.7646124335394755,2
Grünewaldstraße,5.1531139068483975,10
Bärenweg,9.463388030405275,12
Kleiberweg,0.57466228281121,2
Bachstelzenweg,0.2942982059486155,2
Rembrandtstraße,2.4572127538916777,5
Lessingstraße,34.369114838523195,8
Nelkenstraße,50.104074460379046,6
Sachsenstraße,0.2645053779465562,2
Frankenstraße,22.1857542243843,3
Salierstraße,0.1315905425178463,1
Alemannenstraße,0.13085681397463517,1
Klosestraße,0.8465660824275775,4
Poststraße,2.509663739775979,19
Breite Straße,7.069560678019975,14
Wartburgstraße,0.6719004164508111,3
Weltzienstraße,3.0245228672515334,9
Graf-Rhena-Straße,0.8038492047463176,1
Nokkstraße,0.25157445008908746,2
Roonstraße,1.7808452601427054,4
Friedenstraße,37.25933562622791,3
Erbprinzenstraße,4.6702298813821495,8
Lammstraße,57.93749101527773,19
Karl-Friedrich-Straße,66.72074486296728,28
Waldstraße,124.10063788593666,31
Herrenstraße,5.710897518687402,12
Ritterstraße,39.032910645211004,24
Hafenstraße,23.13719546446979,14
Hans-Sachs-Straße,8.095496047289348,3
Belfortstraße,0.25955754735990455,2
Viktoriastraße,12.912261100731593,3
Uhlandstraße,62.734171134927536,6
Bunsenstraße,20.83708705743989,6
Eisenlohrstraße,2.9453493421773156,8
Römhildtstraße,0.22304510486807205,1
Körnerstraße,84.4022219098934,10
Gabelsbergerstraße,7.4896242269613715,2
Messekreisel,0.15327941704906897,1
Lindenweg,103.84231230708204,23
Erlenweg,58.51746559105011,7
Pappelweg,11.869279006110554,2
Buchenweg,122.51622738384624,19
Hermann-Löns-Weg,29.904920575030935,4
Zehntwiesenstraße,3.7652168976905336,6
Daxlander Straße,63.36207299609823,39
Kastenwörtstraße,0.7304770971875207,2
Silcherstraße,26.239170520380384,4
Nürnberger Straße,6.644905112476953,19
Otto-Laible-Straße,0.243262291657691,1
Maxau am Rhein,12.171005080741018,14
Koellestraße,1.0723656241638733,2
Babbergerstraße,0.49130476869791945,1
Martha-Kropp-Straße,0.07272614708456629,1
Karolingerstraße,0.15232824840031559,1
Mitscherlichstraße,2.034005395285266,5
Neugärtenweg,0.17650347621213666,1
Rheinbrückenstraße,22.734754832435733,37
Weiherfeldstraße,1.380997247374406,8
